Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
CHN2		11	10	1519	0.7%	No
CHN1		5	5	1116	0.4%	Yes
CHML		16	13	1272	1.0%	No
KCNQ1		8	8	824	1.0%	No
KCNQ2		12	10	1084	0.9%	No
KCNQ3		14	13	1374	0.9%	No
KCNS1		3	3	368	0.8%	No
KCNS2		6	6	877	0.7%	No
ACTL9		6	5	999	0.5%	No
DCDC2C		2	2	281	0.7%	No
CCDC169		1	1	190	0.5%	No
CHRNB4		6	6	1142	0.5%	No
CHRNB3		8	8	1238	0.6%	No
CHRNB2		13	13	1084	1.2%	No
RIMOC1		3	3	697	0.4%	No
CHRNB1		5	5	1035	0.5%	No
CHRNA7		1	1	190	0.5%	No
CHRNA5		2	2	122	1.6%	No
CHRNA4		8	8	1135	0.7%	No
CHRNA3		6	6	819	0.7%	No
CHRNA2		9	7	1047	0.7%	No
CHRNA1		5	5	729	0.7%	No
CHRM5		4	4	819	0.5%	No
KHK		6	6	1116	0.5%	No
KIF2A		10	10	1338	0.7%	No
KIF3C		6	6	910	0.7%	No
KIF5A		19	16	1619	1.0%	No
HMGA2-AS1		1	1	216	0.5%	No
KIF5B		10	9	1148	0.8%	Yes
ZNF841		14	14	1362	1.0%	No
ZNF615		7	7	903	0.8%	No
SLC36A3		6	6	983	0.6%	No
KIF4B		8	6	1084	0.6%	No
CISH		4	4	503	0.8%	No
CIRBP		2	2	746	0.3%	No
FRG1		6	6	1067	0.6%	No
CKB		2	2	338	0.6%	No
CIDEA		5	5	598	0.8%	No
CHUK		8	8	947	0.8%	No
CHRNG		5	4	819	0.5%	No
CHRNE		1	1	239	0.4%	No
MTOR		64	59	2476	2.4%	Yes
CHRND		6	6	1185	0.5%	No
SIGLECL1		1	1	122	0.8%	No
KLK9		4	4	368	1.1%	No
EMC10		2	2	723	0.3%	No
KCNK4		4	4	629	0.6%	No
MYEF2		8	7	1238	0.6%	No
IRX4		4	4	723	0.6%	No
AK3		4	4	825	0.5%	No
ASAP1		10	10	1619	0.6%	No
HP1BP3		5	5	1093	0.5%	No
CKS2		1	1	216	0.5%	No
FTH1		1	1	216	0.5%	No
NR5A2		10	9	1215	0.7%	No
CKS1B		1	1	100	1.0%	Yes
OR2V2		3	3	845	0.4%	No
FSHR		11	11	1242	0.9%	No
ERCC8		2	2	607	0.3%	No
CENPI		9	9	896	1.0%	No
CKMT2		7	7	819	0.9%	No
CKMT1B		1	1	190	0.5%	No
CKM		2	2	312	0.6%	No
IZUMO1		2	2	216	0.9%	No
TBCB		2	2	370	0.5%	No
MAMSTR		2	2	723	0.3%	No
TPRX1		9	9	926	1.0%	No
NKPD1		5	5	1264	0.4%	No
PPP1R37		4	4	577	0.7%	No
COPS7A		2	2	122	1.6%	No
NSDHL		5	5	1274	0.4%	No
AP3S1		1	1	180	0.6%	No
AP2S1		2	2	190	1.1%	No
C5ORF64		1	1	65	1.5%	No
AP2M1		4	4	723	0.6%	No
ZNF283		9	8	1295	0.6%	No
LYPD5		4	4	936	0.4%	No
CCDC157		4	4	369	1.1%	No
ZNF575		3	3	586	0.5%	No
CXCL17		3	3	877	0.3%	No
PLEKHM2		11	11	1092	1.0%	No
SYT11		11	10	1454	0.7%	No
MLC1		5	5	687	0.7%	No
OR4C12		5	5	729	0.7%	No
OR4C13		3	3	877	0.3%	No
M1AP		5	5	1152	0.4%	No
CLCNKA		5	5	721	0.7%	No
USP49		4	4	338	1.2%	No
CLCN7		7	7	787	0.9%	No
ATP11B		9	9	1047	0.9%	No
WHRN		5	5	845	0.6%	No
ABHD14A		3	3	586	0.5%	No
CLCN6		9	9	1331	0.7%	No
FAM168A		2	2	746	0.3%	No
CLCN5		6	6	528	1.1%	No
CLCN4		10	10	1454	0.7%	No
PMPCA		3	3	913	0.3%	No
CLCN3		10	10	1432	0.7%	No
ARL6IP1		4	4	674	0.6%	No
PRKD2		13	13	1092	1.2%	No
ACSBG1		8	7	1454	0.5%	No
CLCN2		7	7	1162	0.6%	No
CLCN1		10	8	1200	0.7%	No
CLCA1		18	16	1619	1.0%	No
CLC		3	3	697	0.4%	No
DUSP10		9	9	1238	0.7%	No
NLRC5		17	13	1272	1.0%	No
MST1L		3	3	687	0.4%	No
ANTXR1		1	1	507	0.2%	No
C19ORF44		9	8	1454	0.6%	No
MRPL3		2	1	122	0.8%	No
BLTP1		57	51	1676	3.0%	No
RPL35		3	3	629	0.5%	No
ASCC2		12	11	947	1.2%	No
GALNT5		10	9	1100	0.8%	No
GTF2IRD2		9	9	1332	0.7%	No
GALNT6		4	3	361	0.8%	No
NBEAL2		19	18	1554	1.2%	No
TSLP		3	3	868	0.3%	No
FBXO28		5	5	845	0.6%	No
C10ORF126		2	2	338	0.6%	No
CLK3		9	9	1387	0.6%	No
JMJD6		4	4	338	1.2%	No
RPL36		1	1	507	0.2%	No
ZC3H4		8	6	1048	0.6%	No
CLK2		10	10	947	1.1%	No
RRS1		4	4	992	0.4%	No
LETMD1		2	2	746	0.3%	No
CLK1		6	6	1215	0.5%	No
SULF1		13	13	1339	1.0%	No
MPC2		3	3	962	0.3%	No
XPO6		16	16	1584	1.0%	No
PRRC2C		43	39	1554	2.5%	No
CLIC2		3	3	819	0.4%	No
SPEF1		1	1	216	0.5%	No
TBC1D1		16	15	1421	1.1%	No
DCAF13		9	9	945	1.0%	No
CLIC1		1	1	507	0.2%	No
CLU		6	6	586	1.0%	No
MXRA5		40	34	1619	2.1%	No
ZFR2		6	6	1035	0.6%	No
ARID5B		31	26	2588	1.0%	Yes
NEPRO		1	1	216	0.5%	No
CLCNKB		7	6	1374	0.4%	No
SUMF2		7	7	745	0.9%	No
TRUB1		4	4	884	0.5%	No
POLG2		6	6	825	0.7%	No
SEC63		5	5	1238	0.4%	No
HPS5		11	9	1280	0.7%	No
MKX		4	3	412	0.7%	No
RNF139		7	6	1184	0.5%	No
PDCD10		3	3	609	0.5%	No
CA5B		4	4	635	0.6%	No
RNASEH2C		1	1	216	0.5%	No
PSKH2		4	2	629	0.3%	No
RNF24		2	2	361	0.6%	No
PPP1R1B		1	1	216	0.5%	No
SGMS2		5	5	947	0.5%	No
ANAPC13		2	2	338	0.6%	No
MINDY4		8	7	1025	0.7%	No
PARM1		4	3	396	0.8%	No
CHD6		22	21	1342	1.6%	No
ZNF831		27	24	1611	1.5%	No
METTL7A		1	1	507	0.2%	No
ASF1A		5	5	731	0.7%	No
ABTB2		5	5	945	0.5%	No
YIPF3		2	2	216	0.9%	No
MOB4		2	2	746	0.3%	No
FAR1		7	6	849	0.7%	No
TMEM164		2	2	312	0.6%	No
POLI		6	6	1062	0.6%	No
CHEK2		27	24	2623	0.9%	Yes
SLITRK6		13	13	1519	0.9%	No
KLK8		3	3	845	0.4%	No
ZCCHC7		6	6	1035	0.6%	No
CATSPERZ		2	1	507	0.2%	No
LOXL4		5	5	1238	0.4%	No
ZNF844		9	7	729	1.0%	No
ZNF763		2	2	338	0.6%	No
TECPR1		5	5	845	0.6%	No
ZNF345		5	5	875	0.6%	No
DCAF12		8	8	1084	0.7%	No
ARMC8		7	7	872	0.8%	No
BRMS1		5	5	877	0.6%	No
FAM149A		2	2	607	0.3%	No
CTRB2		2	2	629	0.3%	No
DDX20		3	3	629	0.5%	No
TREX2		2	2	697	0.3%	No
HDX		8	8	1364	0.6%	No
SLC49A3		1	1	216	0.5%	No
APOOL		1	1	216	0.5%	No
PLPBP		1	1	507	0.2%	No
FZD10		5	5	947	0.5%	No
AKAP13		37	32	1584	2.0%	No
ELMOD3		6	6	852	0.7%	No
IRAK3		9	8	1554	0.5%	No
POLR1B		6	6	1127	0.5%	No
AKAP10		7	7	831	0.8%	No
OR2Z1		3	3	809	0.4%	No
AKAP11		19	19	1374	1.4%	No
BACE2		4	4	723	0.6%	No
TXN2		1	1	180	0.6%	No
FBXL2		5	5	1078	0.5%	No
PROKR2		6	5	438	1.1%	No
TMEM184B		5	5	731	0.7%	No
OR4Q3		3	3	222	1.4%	No
ZIM3		8	8	1238	0.6%	No
OSCAR		2	2	361	0.6%	No
ARIH1		3	3	877	0.3%	No
DMBX1		2	2	122	1.6%	No
DNAJB5		7	7	1454	0.5%	No
MTO1		12	8	898	0.9%	No
PRDX5		3	3	936	0.3%	No
TPSG1		4	4	845	0.5%	No
GBP4		6	6	1093	0.5%	No
OR4M1		5	5	1152	0.4%	No
GBP5		5	5	1064	0.5%	No
MTERF4		1	1	239	0.4%	No
TOE1		3	3	316	0.9%	No
PCP2		3	3	926	0.3%	No
TBC1D3B		1	1	507	0.2%	No
CIAO2A		2	2	723	0.3%	No
NIPBL		36	33	1619	2.0%	No
METTL25		10	10	808	1.2%	No
COG4		3	3	572	0.5%	No
SETD3		6	5	845	0.6%	Yes
TRAPPC5		2	2	607	0.3%	No
HECTD1		26	25	1646	1.5%	No
SULT4A1		5	5	947	0.5%	No
POU2F3		2	2	723	0.3%	No
NBPF14		7	6	1058	0.6%	No
MGAT4C		9	9	1454	0.6%	No
FCRL1		8	8	1374	0.6%	No
FCRL3		11	9	945	1.0%	No
LRRC42		7	7	1149	0.6%	No
POMK		3	3	845	0.4%	No
USP48		9	9	1047	0.9%	No
LSM4		3	2	697	0.3%	No
SPDEF		2	2	629	0.3%	No
C20ORF141		2	2	222	0.9%	No
RHBDD3		1	1	122	0.8%	No
TMEM17		1	1	100	1.0%	No
TTLL1		10	10	1304	0.8%	No
SLC39A6		7	7	1035	0.7%	No
LMOD1		13	10	1238	0.8%	No
LIPJ		1	1	122	0.8%	No
ATXN10		5	5	750	0.7%	No
TNFAIP8		3	3	609	0.5%	No
SPATA48		6	5	577	0.9%	No
NOCT		1	1	216	0.5%	No
CCDC148		8	7	528	1.3%	No
KLK5		3	3	723	0.4%	No
NPIPB15		2	2	746	0.3%	No
SPRED2		5	5	866	0.6%	No
NPIPB4		2	2	507	0.4%	No
SAMM50		3	3	247	1.2%	No
GPR146		2	2	629	0.3%	No
TBC1D20		3	3	629	0.5%	No
WDR6		17	16	1372	1.2%	No
KCTD7		5	5	926	0.5%	No
SLC2A6		3	3	551	0.5%	No
TREH		3	3	723	0.4%	No
MAP4K1		11	11	1205	0.9%	No
MAP4K5		5	5	767	0.7%	No
INMT		4	4	629	0.6%	No
STAB1		20	17	1454	1.2%	No
EFR3A		6	6	868	0.7%	No
RTF1		2	2	429	0.5%	No
SLC35D1		4	4	1084	0.4%	No
RBM46		3	3	127	2.4%	No
OR2A25		2	2	338	0.6%	No
CRPPA		2	2	629	0.3%	No
CLEC4F		7	6	1088	0.6%	No
NKD2		3	3	723	0.4%	No
TPRG1L		1	1	122	0.8%	No
SAMD8		4	4	888	0.5%	No
ZIC5		5	5	1048	0.5%	No
WDR43		7	7	945	0.7%	No
SNX13		16	15	1511	1.0%	No
CCNB3		31	26	1554	1.7%	Yes
MAPK8IP3		10	10	1332	0.8%	No
SLC45A3		8	8	1215	0.7%	Yes
RHPN2		8	8	925	0.9%	No
GGA3		3	3	599	0.5%	No
MPRIP		8	8	917	0.9%	No
SLC22A16		10	10	1238	0.8%	No
NUP205		16	15	902	1.7%	No
NISCH		6	5	518	1.0%	No
PKP3		8	8	796	1.0%	No
CELF3		4	4	528	0.8%	No
NAT2		1	1	122	0.8%	No
CEP250		19	16	1294	1.2%	No
SERPINA3		2	2	222	0.9%	No
ZBTB34		3	3	312	1.0%	No
AADAC		4	4	607	0.7%	No
WBP4		1	1	507	0.2%	No
AAMP		2	2	312	0.6%	No
AANAT		2	2	302	0.7%	No
AARS1		8	8	1193	0.7%	No
ABCB8		7	7	1048	0.7%	No
WIF1		4	4	913	0.4%	Yes
ABAT		13	13	1554	0.8%	No
SEC23IP		13	13	1047	1.2%	No
ABCA1		18	17	1410	1.2%	No
CEP68		6	6	723	0.8%	No
PASK		17	17	1611	1.1%	Yes
RGL1		6	6	947	0.6%	No
LRRIQ3		9	8	902	0.9%	No
ERICH3		14	9	1238	0.7%	No
TYW3		5	5	962	0.5%	No
NKD1		2	2	629	0.3%	No
RAB42		5	5	926	0.5%	No
TTLL12		2	2	629	0.3%	No
GPD1L		4	4	57	7.0%	No
ABRAXAS2		7	7	1432	0.5%	No
DNAJC14		10	10	1619	0.6%	No
METAP1		2	2	338	0.6%	No
ZCCHC14		1	1	122	0.8%	No
LPIN1		10	10	1338	0.7%	No
SEPTIN8		6	6	825	0.7%	No
ANXA10		3	3	609	0.5%	No
SUPT16H		9	7	945	0.7%	No
ABCA2		14	12	1004	1.2%	No
ABCA3		17	16	1481	1.1%	No
ABCB7		16	16	1546	1.0%	No
IRX2-DT		1	1	122	0.8%	No
ABCF1		11	11	1329	0.8%	No
IRX2		5	5	780	0.6%	No
ABCA4		25	23	1676	1.4%	No
ERLIN2		4	4	395	1.0%	No
ABL1		25	24	2206	1.1%	Yes
AOC1		5	5	731	0.7%	No
ZAR1L		2	2	338	0.6%	No
NUDT6		2	2	629	0.3%	No
ABL2		15	15	1619	0.9%	Yes
ABO		1	1	216	0.5%	No
NUDT5		2	2	723	0.3%	No
ABR		12	11	1554	0.7%	No
NUDT4		1	1	216	0.5%	No
ZC3H3		8	8	1147	0.7%	No
BTNL9		8	8	1454	0.6%	No
ASB17		4	4	968	0.4%	No
SSPOP		3	3	913	0.3%	No
NACAD		19	17	1454	1.2%	No
FCHO1		10	10	976	1.0%	No
PCGF6		3	3	370	0.8%	No
ZIC4		5	5	1116	0.4%	No
CABS1		8	7	1329	0.5%	No
STON2		9	9	1332	0.7%	No
QRFPR		4	4	312	1.3%	No
ZZEF1		22	18	1454	1.2%	No
DDIT4L		4	4	672	0.6%	No
ANKLE2		10	10	1619	0.6%	No
C4ORF17		7	7	1238	0.6%	No
PRAM1		5	5	492	1.0%	No
DCUN1D4		1	1	216	0.5%	No
LRCH1		8	8	1116	0.7%	No
SOX21		1	1	216	0.5%	No
ARL6		2	2	723	0.3%	No
KRTAP13-1		2	2	122	1.6%	No
SLC41A2		6	6	1064	0.6%	No
PSIP1		11	11	1304	0.8%	Yes
USP44		3	3	729	0.4%	No
FSTL1		1	1	30	3.3%	No
WDHD1		11	11	1454	0.8%	No
ACAA1		1	1	507	0.2%	No
ACACA		24	23	1519	1.5%	No
ACACB		27	27	1649	1.6%	No
ACADL		2	2	338	0.6%	No
ACADM		3	3	122	2.5%	No
MARVELD2		8	8	1619	0.5%	No
ACADS		2	2	216	0.9%	No
STRAP		2	2	629	0.3%	No
ACADSB		8	8	1146	0.7%	No
FAM107A		2	2	629	0.3%	No
ADAMTS7		10	9	731	1.2%	No
ACADVL		5	5	945	0.5%	No
OR9K2		10	10	1374	0.7%	No
TTLL13		8	8	976	0.8%	No
INSL6		2	2	187	1.1%	No
ACAT1		5	5	845	0.6%	No
ACAT2		2	2	607	0.3%	No
ADAMTS6		17	15	1249	1.2%	No
CLCC1		3	3	216	1.4%	No
DQX1		3	3	962	0.3%	No
SEPTIN6		2	2	190	1.1%	Yes
TBC1D9		6	6	943	0.6%	No
TSPAN11		10	10	1173	0.9%	No
FRMD4B		6	6	1193	0.5%	No
GRAMD4		2	2	746	0.3%	No
CIC		19	19	2149	0.9%	Yes
NCDN		5	5	1027	0.5%	No
BAZ1A		16	16	1519	1.1%	No
BAZ2A		11	11	1274	0.9%	No
ZNF277		2	2	290	0.7%	No
PIRT		2	2	312	0.6%	No
LZTS1		5	5	845	0.6%	No
ASIC2		3	2	222	0.9%	No
ASIC1		5	5	925	0.5%	No
AMER1		41	35	2170	1.6%	Yes
ACHE		7	6	1454	0.4%	No
ACLY		11	11	1207	0.9%	No
ACO1		5	5	1090	0.5%	No
CDC37		8	7	993	0.7%	No
ACR		7	7	825	0.8%	No
PKIG		4	4	1116	0.4%	No
RASSF6		1	1	65	1.5%	No
IL1RAPL1		12	9	1084	0.8%	No
CLASP2		16	16	1368	1.2%	No
CAMTA2		12	12	1554	0.8%	No
POGZ		22	22	1611	1.4%	No
TMEM59L		8	8	1135	0.7%	No
WIPF3		2	2	572	0.3%	No
RAD54B		18	18	1454	1.2%	No
COLGALT2		5	5	1035	0.5%	No
PLXND1		18	14	1519	0.9%	No
ACAD11		10	10	1554	0.6%	No
DIXDC1		5	5	1123	0.4%	No
ATRIP		1	1	122	0.8%	Yes
RASGRP3		5	5	731	0.7%	No
LRRIQ1		32	29	1584	1.8%	No
CEP295		19	18	1454	1.2%	No
ATP10B		27	27	1497	1.8%	No
TNKS1BP1		12	12	1217	1.0%	No
WDR75		4	4	564	0.7%	No
RAB3GAP2		18	18	1454	1.2%	No
CIPC		2	2	370	0.5%	No
DMC1		6	6	1035	0.6%	No
KAT7		10	10	1554	0.6%	No
DISP2		15	12	1002	1.2%	No
ZNF394		6	6	1238	0.5%	No
CFAP74		6	6	1084	0.6%	No
GLMN		2	2	338	0.6%	No
DNAAF6		1	1	216	0.5%	No
ACO2		9	8	1265	0.6%	No
TSPYL5		6	6	947	0.6%	No
ACOX1		7	5	1025	0.5%	No
ITPRIP		3	3	823	0.4%	No
HHLA2		1	1	216	0.5%	No
HHLA3		2	2	396	0.5%	No
UNK		4	4	577	0.7%	No
ACP1		3	2	406	0.5%	No
ACP2		1	1	100	1.0%	No
BVES		2	2	607	0.3%	No
ACP5		3	3	572	0.5%	No
MYOM3		18	18	1135	1.6%	No
ACP3		6	6	845	0.7%	No
ACRV1		2	2	149	1.3%	No
ACTA1		1	1	507	0.2%	No
ACTA2		6	6	919	0.7%	No
CORO1A		4	4	391	1.0%	No
TIGD2		4	4	819	0.5%	No
FICD		4	3	316	0.9%	No
DRGX		6	6	1148	0.5%	No
WDR45		4	4	913	0.4%	No
PHF8		11	10	1481	0.7%	No
PGLS		3	3	507	0.6%	No
KDM6B		12	11	1209	0.9%	No
EPB41L3		11	11	1454	0.8%	No
QPCT		5	5	913	0.5%	No
SMC5		10	10	1389	0.7%	No
N4BP3		8	8	1158	0.7%	No
ZNF324		9	9	1176	0.8%	No
SRRD		4	4	845	0.5%	No
MAST2		14	12	1554	0.8%	No
KIAA1755		26	19	1519	1.3%	No
CFAP45		4	4	754	0.5%	No
CIZ1		10	10	1338	0.7%	No
ATG2A		9	9	1429	0.6%	No
NGEF		4	4	845	0.5%	No
CNTNAP4		15	13	1619	0.8%	No
FSCN2		2	2	746	0.3%	No
GPATCH8		13	11	1100	1.0%	No
FBXO7		12	10	788	1.3%	No
ZFHX2		15	15	1484	1.0%	No
RAD54L2		10	7	1339	0.5%	No
LDB3		8	8	831	1.0%	No
DCLK3		6	6	1315	0.5%	No
LRRCC1		10	10	1432	0.7%	No
AP4S1		1	1	216	0.5%	No
ACTB		9	9	1454	0.6%	Yes
HELZ2		17	15	1454	1.0%	No
KNDC1		8	8	945	0.8%	No
PWWP3B		14	14	1554	0.9%	No
RABL2A		3	3	936	0.3%	No
DOCK7		28	21	1649	1.3%	No
RABL2B		4	4	1058	0.4%	No
RAP1GAP2		3	3	222	1.4%	No
DDN		5	5	1264	0.4%	No
PRXL2B		1	1	216	0.5%	No
MYBPHL		6	6	1264	0.5%	No
BTN2A1		9	9	1309	0.7%	No
IQUB		7	7	1432	0.5%	No
H2AP		2	2	338	0.6%	No
MCF2L2		19	19	1584	1.2%	No
TBC1D2B		12	12	1454	0.8%	No
FSTL4		7	7	1013	0.7%	No
PRPF40B		8	7	1184	0.6%	No
SLC24A2		7	6	1215	0.5%	No
MRPS27		5	5	179	2.8%	No
CLASRP		9	9	1331	0.7%	No
KAT8		2	2	507	0.4%	No
CCDC65		1	1	190	0.5%	No
DNAJC5B		3	3	396	0.8%	No
PTPRT		40	38	2486	1.5%	Yes
GFM1		12	12	1581	0.8%	No
SYDE2		8	8	1184	0.7%	No
SCIN		8	8	1268	0.6%	No
ACTC1		3	2	338	0.6%	No
ACTG1		11	11	1268	0.9%	Yes
FAF1		10	10	1012	1.0%	Yes
ZNF644		10	10	1078	0.9%	No
ACTG2		6	6	999	0.6%	No
RCAN3		2	1	122	0.8%	No
FAM161A		7	7	1554	0.5%	No
POLR3A		10	10	1362	0.7%	No
ABRAXAS1		5	4	875	0.5%	Yes
KIF3A		8	8	1332	0.6%	No
FAM199X		4	4	1093	0.4%	No
EVA1A		1	1	216	0.5%	No
HIC2		1	1	122	0.8%	No
CAPN11		6	6	1135	0.5%	No
ZWINT		7	7	1116	0.6%	No
SPART		6	5	809	0.6%	No
TNRC6B		29	26	1554	1.7%	No
CUL9		16	16	1619	1.0%	No
CBY1		6	6	609	1.0%	No
NFASC		17	16	1338	1.2%	No
ZMAT2		1	1	100	1.0%	No
DSTYK		10	10	1338	0.7%	No
TOGARAM1		19	18	1484	1.2%	No
SUN2		5	5	675	0.7%	No
NPIPB3		3	3	419	0.7%	No
TAB2		4	4	933	0.4%	No
PCMTD1		4	4	518	0.8%	No
CCDC13		3	3	868	0.3%	No
SLC7A6OS		7	7	1238	0.6%	No
TBC1D22A		3	3	629	0.5%	No
ZNRF3		10	10	1454	0.7%	Yes
SELENOI		2	2	629	0.3%	No
ACTN4		14	14	1554	0.9%	No
CAPN10		9	9	1332	0.7%	No
USP42		17	17	1511	1.1%	No
CDC42EP1		6	6	609	1.0%	No
UTP15		5	5	1332	0.4%	No
ZC3H12C		8	8	1058	0.8%	No
SSH2		14	12	1337	0.9%	No
TOMM40L		1	1	507	0.2%	No
TANC1		16	14	1337	1.0%	No
FBXO17		3	3	519	0.6%	No
PWP1		2	2	239	0.8%	No
FHDC1		18	18	1484	1.2%	No
SLC7A9		7	6	867	0.7%	No
CEP78		5	5	919	0.5%	No
ACTL6A		2	2	361	0.6%	No
TBC1D8		22	20	1611	1.2%	No
ZNF518B		12	12	1611	0.7%	No
ACTN1		2	2	57	3.5%	No
ACTN2		17	17	1331	1.3%	No
CMC4		2	2	746	0.3%	No
ACVR1		7	7	1425	0.5%	Yes
ACVR1B		10	9	1040	0.9%	Yes
ACVR2A		7	7	1264	0.6%	Yes
ACVR2B		1	1	122	0.8%	No
ACVRL1		6	6	822	0.7%	No
RSPH4A		6	6	970	0.6%	No
ACY1		3	3	723	0.4%	No
ACYP1		1	1	507	0.2%	No
ACYP2		1	1	122	0.8%	No
SHISA9		11	11	1332	0.8%	No
SLC35E2B		2	2	429	0.5%	No
GPR148		1	1	122	0.8%	No
DCAF8		8	8	1454	0.6%	No
NPHP4		11	11	1216	0.9%	No
KIR2DL3		3	3	746	0.4%	No
KIR2DL4		8	8	1216	0.7%	No
KIR2DS1		1	1	100	1.0%	No
KIR2DS4		2	2	607	0.3%	No
SH3RF3		4	4	338	1.2%	No
KIF5C		17	17	1454	1.2%	No
KIFC3		9	9	1489	0.6%	No
KIR2DL1		7	7	1397	0.5%	No
TIPRL		2	2	370	0.5%	No
KISS1		4	4	875	0.5%	No
KIT		33	29	1941	1.5%	Yes
KLK1		2	2	338	0.6%	No
KLK2		7	7	1238	0.6%	Yes
STEAP2		5	5	868	0.6%	No
KLKB1		8	8	1125	0.7%	No
MTURN		1	1	122	0.8%	No
KIR3DL1		4	4	529	0.8%	No
KIR3DL2		9	9	1397	0.6%	No
KNG1		12	12	1511	0.8%	No
KLRB1		2	2	216	0.9%	No
KLRC1		8	8	1148	0.7%	No
KLRC2		5	5	1035	0.5%	No
KLRC3		2	2	537	0.4%	No
APOBEC4		6	6	786	0.8%	No
MORN2		1	1	100	1.0%	No
KPNA1		7	7	628	1.1%	No
SRRM3		3	3	152	2.0%	No
KPNB1		7	7	1216	0.6%	No
KPNA2		4	4	877	0.5%	No
GARIN5B		11	10	1025	1.0%	No
KPNA3		8	8	1481	0.5%	No
TMEM150B		2	2	507	0.4%	No
VSTM1		4	4	926	0.4%	No
DENND10		3	3	762	0.4%	No
KLC1		5	4	731	0.5%	No
KIF11		5	5	629	0.8%	No
KIFC1		14	13	1264	1.0%	No
KIF25		10	9	1047	0.9%	No
KIF22		5	5	1152	0.4%	No
SERINC4		2	2	216	0.9%	No
SHISA7		4	4	418	1.0%	No
WFDC13		1	1	216	0.5%	No
CCDC30		4	4	819	0.5%	No
ADAM2		5	5	876	0.6%	No
KRT1		12	12	1454	0.8%	No
KRT2		6	6	1264	0.5%	No
FTL		4	4	1116	0.4%	No
ZFP82		3	1	122	0.8%	No
WDR62		9	9	1215	0.7%	No
KPNA4		6	6	1432	0.4%	No
KPNA5		10	10	1432	0.7%	No
TNPO1		8	8	949	0.8%	No
FUCA2		2	2	302	0.7%	No
IPO5		7	7	1238	0.6%	No
KRAS		32	31	2826	1.1%	Yes
FUCA1		1	1	190	0.5%	No
NR5A1		1	1	216	0.5%	No
KRTAP5-9		1	1	122	0.8%	No
TRIM64C		1	1	122	0.8%	No
KRT13		6	6	666	0.9%	No
KANK1		9	9	982	0.9%	No
FDCSP		3	3	609	0.5%	No
RFTN1		3	3	809	0.4%	No
KRT10		2	2	57	3.5%	No
FUT4		2	2	216	0.9%	No
FUT3		6	6	926	0.6%	No
KRT12		3	3	609	0.5%	No
DIP2A		9	9	1454	0.6%	No
FUT2		3	3	746	0.4%	No
FUT1		4	4	426	0.9%	No
MESD		2	2	687	0.3%	No
FUS		10	10	1462	0.7%	Yes
LARP4B		16	12	1676	0.7%	Yes
GAST		1	1	180	0.6%	No
RCOR1		4	4	898	0.4%	No
PHLDB1		21	20	1519	1.3%	No
KRT3		7	6	1123	0.5%	No
KRT4		6	6	999	0.6%	No
KRT5		4	4	708	0.6%	No
KRT6A		7	7	1065	0.7%	No
KRT6B		8	8	926	0.9%	No
KRT7		3	3	577	0.5%	No
FUT7		1	1	122	0.8%	No
FUT6		2	2	361	0.6%	No
KRT8		3	3	577	0.5%	No
KRT9		14	11	1619	0.7%	No
FGD5		14	11	1395	0.8%	No
FUT5		3	3	697	0.4%	No
CDK11A		6	6	1116	0.5%	No
ARRDC5		5	5	528	0.9%	No
GSE1		20	20	1321	1.5%	No
MAGI3		17	17	1489	1.1%	No
RGMB		6	6	1056	0.6%	No
RFPL4AL1		2	2	629	0.3%	No
PRSS33		2	2	723	0.3%	No
CYFIP1		6	6	1123	0.5%	No
RSBN1L		5	5	1035	0.5%	No
ATG4B		4	4	1036	0.4%	No
GANAB		15	14	1274	1.1%	No
FZD2		7	7	395	1.8%	No
FYN		7	7	1469	0.5%	Yes
FBXL7		6	6	962	0.6%	No
CLN5		2	2	723	0.3%	No
FYB1		16	14	1511	0.9%	No
MDN1		59	54	1676	3.2%	No
CLN3		8	8	1484	0.5%	No
FAM120A		15	11	1454	0.8%	No
ACKR1		2	2	697	0.3%	No
FAF2		6	6	1093	0.5%	No
TPP1		10	10	1184	0.8%	No
FUT8		8	8	947	0.8%	No
PSME4		13	12	1511	0.8%	No
KRT14		5	5	999	0.5%	No
KRT15		6	5	845	0.6%	No
CLPTM1		2	2	629	0.3%	No
G6PD		4	4	945	0.4%	No
G6PC1		3	3	449	0.7%	No
KRT16		6	6	592	1.0%	No
UBXN4		6	6	1364	0.4%	No
OLFML2B		14	13	1511	0.9%	No
MTHFD1L		7	7	1084	0.6%	No
CNOT10		4	4	528	0.8%	No
PRR23E		3	3	438	0.7%	No
KRT19		9	9	1238	0.7%	No
ANAPC15		1	1	190	0.5%	No
AHCTF1		26	26	1554	1.7%	No
IGSF10		33	30	1611	1.9%	No
KRT31		4	4	520	0.8%	No
KRT32		6	6	609	1.0%	No
C3ORF33		4	4	1116	0.4%	No
GABPA		3	3	672	0.4%	No
GABBR1		8	8	731	1.1%	No
CCDC28A		5	5	528	0.9%	No
IFFO1		3	3	338	0.9%	No
GAA		6	6	819	0.7%	No
XRCC6		7	6	1025	0.6%	No
ITPRID1		5	5	845	0.6%	No
CMA1		1	1	216	0.5%	No
C17ORF99		1	1	216	0.5%	No
CLTC		25	18	1611	1.1%	Yes
CLTB		2	2	312	0.6%	No
SLC37A4		2	2	316	0.6%	No
